epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0543,0.82419,2.73009,1.18459,0.00333,1,0.14279,0.14279,0.24998,2.68368,0.79894,6e-05,6e-05,6e-05
2,26.0309,0.33132,2.18922,0.88796,0.00333,1,0.4378,0.4378,0.2547,2.61217,0.76591,0.000137228,0.000137228,0.000137228
3,54.2795,0.2671,1.24565,0.87263,0.01078,1,0.995,0.995,0.24606,2.22271,0.76627,0.000211288,0.000211288,0.000211288
4,83.5477,0.28282,0.94503,0.82214,0.01331,1,0.995,0.995,0.20777,2.38954,0.76178,0.00028218,0.00028218,0.00028218
5,104.292,0.29989,0.84825,0.86233,0.96465,1,0.995,0.995,0.19368,2.10585,0.75468,0.000349904,0.000349904,0.000349904
6,115.396,0.27663,0.75896,0.83819,0.98715,1,0.995,0.995,0.1997,1.82461,0.75586,0.00041446,0.00041446,0.00041446
7,126.715,0.25608,0.75678,0.84266,0.99503,1,0.995,0.995,0.22455,1.41516,0.76552,0.000475848,0.000475848,0.000475848
8,138.207,0.29083,0.76488,0.82756,0.99546,1,0.995,0.995,0.17989,1.11751,0.75476,0.000534068,0.000534068,0.000534068
9,149.856,0.22727,0.63873,0.83553,0.99545,1,0.995,0.98602,0.32621,1.04935,0.79681,0.00058912,0.00058912,0.00058912
10,161.299,0.27422,0.68308,0.83445,0.99551,1,0.995,0.995,0.27311,1.09766,0.77309,0.000641004,0.000641004,0.000641004
11,172.782,0.25511,0.68005,0.83024,0.99515,1,0.995,0.94335,0.36367,1.2463,0.81383,0.00068972,0.00068972,0.00068972
12,184.383,0.26674,0.70099,0.84397,0.99455,1,0.995,0.995,0.21517,1.28955,0.76067,0.000735268,0.000735268,0.000735268
13,195.896,0.27819,0.66359,0.84508,0.99526,1,0.995,0.96748,0.38986,1.18262,0.87494,0.000777648,0.000777648,0.000777648
